"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
246864295611;;;;;"Шляпная коробка ""Love message"" - L";;;;5780.00;;;Размер:L;;VMsC8pK1ss8mpH8yguTd;290204897691;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-290204897691-shlyapnaya-korobka-love-message?editionuid=246864295611
861801879501;;;;"Шляпные коробки";"Шляпная коробка ""Happy Message""";;"<div style=""font-size: 18px;"" data-customstyle=""yes"">Прекрасная шляпная коробка с цветами и вкусными ягодами подойдет для любого повода и праздника.#nbsp;<br /><br />#nbsp;<strong>Размеры:</strong><br /><ul><li>S#nbsp;20-25 ягод / диаметр коробки 16 см</li><li>M 30-35 ягод / диаметр коробки 18 см</li><li>L#nbsp;45-50 ягод#nbsp;/ диаметр коробки 20 см</li></ul><br />Все ингредиенты в нашем наборе съедобны.<br /><br /><u>Наши конкурентные преимущества:</u><br /><ol><li>Фото-контроль перед отправкой заказчику.</li><li>Бережная курьерская доставка.</li><li>Крепкая и надежная упаковка.</li><li>Постоянная связь с менеджером.</li></ol><br />Срок годности набора - 24 часа. Так же рекомендуем хранить ваш заказ в холодильнике, так он будет дольше оставаться свежим и не потеряет своих вкусовых качеств.<br /><br />Представляем вам клубнику, одну из самый вкусных на рынке, об этом нам говорят отзывы наших любимых клиентов. Ягода приезжает к нам рано утром каждый день напрямую от поставщиков, что бы уже в течении дня мы могли порадовать вас вкусным и свежим десертом!<br /><br />Клубника в шоколаде не была бы ею без шоколада.<br />Callebaut - это бельгийский шоколад который стал культовым среди шефов и кондитеров. Его нежнейший вкус и структура незаменимы в нашем деле, поэтому наш выбор пал именно на него.<br /><br />Курьерская доставка осуществлятся круглосуточно 7 дней в неделю.<br /><ul><li style=""text-align: left;"">Доставка по Москве - 490 руб.</li><li style=""text-align: left;"">Доставка за МКАД - рассчитывается индивидуально (от 750 руб.)</li><li style=""text-align: left;"">Минимальный диапазон доставки с у четом приготовления: 2-3 часа</li></ul></div>";https://static.tildacdn.com/stor3031-6330-4435-b235-313263343933/48548616.jpg;;;;;"Подарочная открытка:Без открытки=+0;""С днем рождения"" 100 руб.=+100;""С любовью"" 100 руб.=+100;""Хорошего дня"" 100 руб.=+100|Добавить топпер:Без топпера=+0;""С любовью"" 150 руб.=+150;""Поздравляю"" 150 руб.=+150;""С Днем рождения"" 150 руб.=+150;""С Новым годом"" 150 руб.=+150;""C 8 Марта"" 150 руб.=+150;""С Днем свадьбы"" 150 руб.=+150;""Любимой бабушке"" 150 руб.=+150;""Любимой маме"" 150 руб.=+150";gNrJ6o2NxjdfKi77pUXo;;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-861801879501-shlyapnaya-korobka-happy-message
470821563141;;;;;"Шляпная коробка ""Happy Message"" - S";;;;2990.00;;;Размер:S;;vNayyBnnF8ps4Ntag6hE;861801879501;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-861801879501-shlyapnaya-korobka-happy-message?editionuid=470821563141
999561515201;;;;;"Шляпная коробка ""Happy Message"" - M";;;;3990.00;;;Размер:M;;rgokz8uBMMXBt9mVOoE4;861801879501;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-861801879501-shlyapnaya-korobka-happy-message?editionuid=999561515201
483467228661;;;;;"Шляпная коробка ""Happy Message"" - L";;;;4990.00;;;Размер:L;;3AHNyBzzRELPVPEeSGGM;861801879501;0;0;0;0;https://deliberry-shop.ru/katalog/tproduct/520569011-861801879501-shlyapnaya-korobka-happy-message?editionuid=483467228661
684946973851;;;;"День матери;Клубника с цветами;Шляпные коробки;Осенняя коллекция";"Шляпная коробка ""Rapunzel""";;"<div style=""font-size: 18px;"" data-customstyle=""yes"">Прекрасная шляпная коробка с цветами и вкусными ягодами подойдет для любого повода и праздника.#nbsp;<br /><br />#nbsp;<strong>Размеры:</strong><br /><ul><li>S#nbsp;15-17 ягод + цветы / диаметр коробки 16 см</li><li>M 25-30 ягод + цветы / диаметр коробки 18 см</li><li>L#nbsp;40-45 ягод + цветы / диаметр коробки 20 см</li></ul><br /><br />Все ингредиенты в нашем наборе съедобны.<br /><br /><u>Наши конкурентные преимущества:</u><br /><ol><li>Фото-контроль перед отправкой заказчику.</li><li>Бережная курьерская доставка.</li><li>Крепкая и надежная упаковка.</li><li>Постоянная связь с менеджером.</li></ol><br />Срок годности набора - 24 часа. Так же рекомендуем хранить ваш заказ в холодильнике, так он будет дольше оставаться свежим и не потеряет своих вкусовых качеств.<br /><br />Представляем вам клубнику, одну из самый вкусных на рынке, об этом нам говорят отзывы наших любимых клиентов. Ягода приезжает к нам рано утром каждый день напрямую от поставщиков, что бы уже в течении дня мы могли порадовать вас вкусным и свежим десертом!<br /><br />Клубника в шоколаде не была бы ею без шоколада.<br />Callebaut - это бельгийский шоколад который стал культовым среди шефов и кондитеров. Его нежнейший вкус и структура незаменимы в нашем деле, поэтому наш выбор пал именно на него.<br /><br />Курьерская доставка осуществлятся круглосуточно 7 дней в неделю.<br /><ul><li style=""text-align: left;"">Доставка по Москве - 490 руб.</li><li style=""text-align: left;"">Доставка за МКАД - рассчитывается индивидуально (от 750 руб.)</li><li style=""text-align: left;"">Минимальный диапазон доставки с у четом приготовления: 2-3 часа</li></ul></div>";https://static.tildacdn.com/stor3437-3032-4230-b033-633165343363/22174873.png;;;;;"Подарочная открытка:Без открытки=+0;""С днем рождения"" 100 руб.=+100;""С любовью"" 100 руб.=+100;""Хорошего дня"" 100 руб.=+100|Добавить топпер:Без топпера=+0;""С любовью"" 150 руб.=+150;""Поздравляю"" 150 руб.=+150;""С Днем рождения"" 150 руб.=+150;""С Новым годом"" 150 руб.=+150;""C 8 Марта"" 150 руб.=+150;""С Днем свадьбы"" 150 руб.=+150;""Любимой бабушке"" 150 руб.=+150;""Любимой маме"" 150 руб.=+150";5fRmZpdC4amHO6HvpMu0;;0;0;0;0;https://deliberry-shop.ru/event/tproduct/711646406-684946973851-shlyapnaya-korobka-rapunzel
149477278551;;;;;"Шляпная коробка ""Rapunzel"" - S";;;;3690.00;;;Размер:S;;Ynm03JD8UaCpHpLo2RHu;684946973851;0;0;0;0;https://deliberry-shop.ru/event/tproduct/711646406-684946973851-shlyapnaya-korobka-rapunzel?editionuid=149477278551
367602517191;;;;;"Шляпная коробка ""Rapunzel"" - M";;;;4890.00;;;Размер:M;;Mhh3HhiN4SLbknSyZ6Uj;684946973851;0;0;0;0;https://deliberry-shop.ru/event/tproduct/711646406-684946973851-shlyapnaya-korobka-rapunzel?editionuid=367602517191
401084466291;;;;;"Шляпная коробка ""Rapunzel"" - L";;;;5780.00;;;Размер:L;;94sJ45tizzMihuUTZvzn;684946973851;0;0;0;0;https://deliberry-shop.ru/event/tproduct/711646406-684946973851-shlyapnaya-korobka-rapunzel?editionuid=401084466291
450394529151;;;;"День матери;Клубника с цветами;Шляпные коробки";"Шляпная коробка ""Cherri hill""";;"<div style=""font-size: 18px;"" data-customstyle=""yes"">Прекрасная шляпная коробка с цветами и вкусными ягодами подойдет для любого повода и праздника.#nbsp;<br /><br />#nbsp;<strong>Размеры:</strong><br /><ul><li>S#nbsp;15-17 ягод + цветы / диаметр коробки 16 см</li><li>M 25-30 ягод + цветы / диаметр коробки 18 см</li><li>L#nbsp;40-45 ягод + цветы / диаметр коробки 20 см</li></ul><br /><br />Все ингредиенты в нашем наборе съедобны.<br /><br /><u>Наши конкурентные преимущества:</u><br /><ol><li>Фото-контроль перед отправкой заказчику.</li><li>Бережная курьерская доставка.</li><li>Крепкая и надежная упаковка.</li><li>Постоянная связь с менеджером.</li></ol><br />Срок годности набора - 24 часа. Так же рекомендуем хранить ваш заказ в холодильнике, так он будет дольше оставаться свежим и не потеряет своих вкусовых качеств.<br /><br />Представляем вам клубнику, одну из самый вкусных на рынке, об этом нам говорят отзывы наших любимых клиентов. Ягода приезжает к нам рано утром каждый день напрямую от поставщиков, что бы уже в течении дня мы могли порадовать вас вкусным и свежим десертом!<br /><br />Клубника в шоколаде не была бы ею без шоколада.<br />Callebaut - это бельгийский шоколад который стал культовым среди шефов и кондитеров. Его нежнейший вкус и структура незаменимы в нашем деле, поэтому наш выбор пал именно на него.<br /><br />Курьерская доставка осуществлятся круглосуточно 7 дней в неделю.<br /><ul><li style=""text-align: left;"">Доставка по Москве - 490 руб.</li><li style=""text-align: left;"">Доставка за МКАД - рассчитывается индивидуально (от 750 руб.)</li><li style=""text-align: left;"">Минимальный диапазон доставки с у четом приготовления: 2-3 часа</li></ul></div>";https://static.tildacdn.com/stor6633-3735-4566-a430-633361366239/39310035.png;;;;;"Подарочная открытка:Без открытки=+0;""С днем рождения"" 100 руб.=+100;""С любовью"" 100 руб.=+100;""Хорошего дня"" 100 руб.=+100|Добавить топпер:Без топпера=+0;""С любовью"" 150 руб.=+150;""Поздравляю"" 150 руб.=+150;""С Днем рождения"" 150 руб.=+150;""С Новым годом"" 150 руб.=+150;""C 8 Марта"" 150 руб.=+150;""С Днем свадьбы"" 150 руб.=+150;""Любимой бабушке"" 150 руб.=+150;""Любимой маме"" 150 руб.=+150";oSLLRSJkZ9XY8HFv68oE;;0;0;0;0;https://deliberry-shop.ru/event/tproduct/711646406-450394529151-shlyapnaya-korobka-cherri-hill
